Key,Id,Korean(ko),English(en),Chinese (Simplified)(zh),Chinese (Traditional)(zh-TW),Japanese(ja),,,,,,
100000,,일반,Com.,普通,一般,一般,,,,,,
100001,,매직,Magi.,高级,魔法,魔法,,,,,,
100002,,레어,Rare,稀有,稀有,レア,,,,,,
100003,,유니크,Uniq.,唯一,獨特,独特,,,,,,
100004,,영웅,Hero.,英雄,英雄,英雄,,,,,,
100005,,전설,Leg.,传说,傳說,伝説,,,,,,
100006,,신화,Myth.,神话,神話,神話,,,,,,
101000,,행복하세요,Wishing you the best,一定要幸福,祝你幸福,幸せになってください,,,,,,
101001,,게이머,Gamer,玩家,玩家,ゲーマー,,,,,,
101002,,행정가,Administrator,行政人员,行政人員,管理者,,,,,,
101003,,운수대통,Lucky Year,大吉大利,大吉大利,縁起がいい,,,,,,
101004,,대부호,Millionaire,大富豪,大富翁,大富豪,,,,,,
101005,,몬스터 헌터,Monster Hunter,怪物猎人,怪物獵人,モンスターハンター,,,,,,
101006,,영웅,Hero,英雄,英雄,英雄,,,,,,
101007,,최강자,The Strongest,最强者,最強者,最強者,,,,,,
101008,,빌런,Villain,恶棍,惡棍,ヴィラン,,,,,,
101009,,부랑자,Vagabond,流浪者,流浪漢,浮浪者,,,,,,
101010,,기사단장,Knight Commander,骑士指挥官,骑士指挥官,騎士団長,,,,,,
101011,,동물애호가,Animal Lover,动物爱好者,動物愛好者,動物愛好家,,,,,,
101012,,학자,Scholar,学者,學者,学者,,,,,,
102000,,광고 시청,Watch Ad,观看广告,觀賞廣告,広告視聴,,,,,,
102001,,던전 완료,Complete Dugn.,完成副本,完成副本,ダンジョン完了,,,,,,
102002,,일일 퀘스트 완료,Complete Daily Quest,完成每日任务,完成每日任務,デイリークエスト完了,,,,,,
102003,,무기 소환,Summon Weapons,召唤武器,召喚武器,武器召喚,,,,,,
102004,,반지 소환,Summon Rings,召唤戒指,召喚戒指,指輪召喚,,,,,,
102005,,몬스터 처치,Defeat Monster,击杀怪物,消滅怪物,モンスター撃破,,,,,,
102006,,누적 획득 다이아,Total Diamond Acquired,累计获得水晶,累積獲得的水晶,累積獲得水晶,,,,,,
102007,,레벨 달성,Level Achieved,达成等级,達成等級,レベル達成,,,,,,
102008,,스킬 각성,Awaken Skill,觉醒技能,覺醒技能,スキル覚醒,,,,,,
102009,,반지 각성,Awaken ring,觉醒戒指,覺醒戒指,指輪覚醒,,,,,,
102010,,무기 각성,Awaken Weapon,觉醒武器,覺醒武器,武器覚醒,,,,,,
102011,,펫 각성,Awaken Pet,觉醒宠物,覺醒寵物,ペット覚醒,,,,,,
102012,,유물 레벨 달성,Relic Level Achieved,达到圣物等级,達到聖物等級,達成された遺物レベル,,,,,,
103000,,공격력,Attack,攻击力,攻擊力,攻撃力,,,,,,
103001,,체력,HP,体力,體力,体力,,,,,,
103002,,치명타 확률,Critical Rate,暴击率,暴擊率,会心率,,,,,,
103003,,치명타 피해량,Critical Damage,暴击伤害量,暴擊傷害,会心ダメージ量,,,,,,
103005,,경험치 획득량 증가,Incr. EXP Gain,增加经验值获得量,提升經驗值獲得量,経験値獲得量増加,,,,,,
103006,,골드 획득량 증가,Incr. Gold Gain,增加金币获得量,提升金幣獲得量,ゴールド獲得量増加,,,,,,
103007,,이동속도 상승,Incr. Movement Speed,提升移动速度,提升移動速度,移動速度上昇,,,,,,
103008,,공격속도 상승,Incr. Attack Speed,提升攻击速度,提升攻擊速度,攻撃速度上昇,,,,,,
103009,,스테이지 강화석 획득량 증가,Incr. Upgrade Stone in Stage,增加关卡强化石获得量,提升關卡強化石獲得量,ステージ強化石獲得量増加,,,,,,
103010,,암시장 코인 던전 보상 증가,Incr. BlackMarket Coin in Dungeon,增加黑市金币地牢,增加黑市金幣地牢,闇市場コインダンジョン報酬増加,,,,,,
103011,,스킬 강화석 던전 보상 증가,Incr. Skill Stone in Dungeon,增加技能强化石副本奖励,提升技能強化石副本獎勵,スキル強化石ダンジョン報酬増加,,,,,,
103012,,다이아 던전 보상증가,Incr. Dia in Dungeon,增加钻石地牢,提升鑽石地牢獎勵,ダイヤダンジョン報酬増加,,,,,,
103013,,각성석 던전 보상 증가,Incr. Awaken Stone in Dungeon,增加觉醒石副本奖励,提升覺醒石副本獎勵,覚醒石ダンジョン報酬増加,,,,,,
103014,,보스에게 주는 피해 증가,Incr. Boss Damage,增加对BOSS造成的伤害,提升對Boss造成的傷害,ボスに与えるダメージ増加,,,,,,
103015,,특정 스킬에만 적용되는 경우,Applied only on specific skills,仅适用于特定技能时,只適用於特定技能的情況,特定スキルにのみ適用される場合,,,,,,
103016,,스킬 피해량 증가,Incr. Skill Damage,增加技能伤害量,提升技能傷害量,スキルダメージ量増加,,,,,,
103017,,대시 피해량 증가,Incr. Dash Damage,增加冲刺伤害量,提升猛衝傷害量,ダッシュダメージ量増加,,,,,,
103018,,최종 공격력 증가,Incr. Max attack,增加最终攻击力,提升最終攻擊力,最終攻撃力増加,,,,,,
103019,,최종 체력 증가,Incr. Max HP,增加最终体力,提升最終體力,最終体力増加,,,,,,
103020,,각성 공격력 증가,Incr. Awaken attack,增加觉醒攻击力,提升覺醒攻擊力,覚醒攻撃力増加,,,,,,
103021,,각성 체력 증가,Incr. Awaken HP,增加觉醒体力,提升覺醒體力,覚醒体力増加,,,,,,
103022,,펫 공격력 증가,Incr. Pet attack,增加宠物攻击力,提升寵物攻擊力,ペット攻撃力増加,,,,,,
103023,,펫 체력 증가,Incr. Pet HP,增加宠物体力,提升寵物體力,ペット体力増加,,,,,,
103024,,장비 드랍 확률 증가,Incr. Equipment Drop Rate,增加装备掉落率,提升裝備掉落機率,装備ドロップ率増加,,,,,,
103025,,몬스터 체력 감소,DCR. Monster HP,减少怪物体力,降低怪物體力,モンスター体力減少,,,,,,
103026,,몬스터 공격력 감소,DCR. Monster attack,减少怪物攻击力,降低怪物攻擊力,モンスター攻撃力減少,,,,,,
103027,,공격력 증가,Incr. attack,增加攻击力,提升攻擊力,攻撃力増加,,,,,,
103028,,체력 증가,Incr. HP,增加体力,提升體力,体力増加,,,,,,
103029,,잠재 공격력 증가,Incr. Potential attack,增加潜在攻击力,提升潛在攻擊力,潜在攻撃力増加,,,,,,
103030,,잠재 체력 증가,Incr. Potential HP,增加潜在体力,提升潛在體力,潜在体力増加,,,,,,
103031,,잠재 골드 획득량 증가,Incr. Potential Gold Gain,增加潜在金币获得量,提升潛在金幣獲得量,潜在ゴールド獲得量増加,,,,,,
103032,,잠재 경험치 획득량 증가,Incr. Potential EXP Gain,增加潜在经验值获得量,提升潛在經驗值獲得量,潜在経験値獲得量増加,,,,,,
103033,,힘의 룬,Power Rune,力量符文,力量符文,力のルーン,,,,,,
103034,,체력의 룬,Health Rune,体力符文,體力符文,体力のルーン,,,,,,
103035,,풍요의 룬,Richness Rune,富足符文,富饒符文,豊穣のルーン,,,,,,
103036,,경험의 룬,Experience Rune,经验符文,經驗符文,経験のルーン,,,,,,
103037,,파괴의 룬,Destruction Rune,破坏符文,破壞符文,破壊のルーン,,,,,,
103038,,유물 공격력 증가,Incr. Relic attack,增加遗物攻击力,增加遺物攻擊力,遺物攻撃力増加,,,,,,
103039,,유물 체력 증가,Incr. Relic HP,增加遗物体力,增加遺物體力,遺物体力増加,,,,,,
103040,,보석 공격력 증가,Incr. Jewel Attack,增加宝石攻击力,增加寶石攻擊力,宝石攻撃力増加,,,,,,
103041,,보석 체력 증가,Incr. Jewel HP,增加宝石体力,增加寶石體力,宝石体力増加,,,,,,
103042,,기본 공격 피해량 증가,Incr. Normal Attack damage,增加普通攻击伤害。,增加普通攻擊傷害,通常攻撃ダメージ増加,,,,,,
104000,,공격력 {0} 증가,Incr. attack {0},攻击力增加{0},攻擊力提升{0},攻撃力{0}増加,,,,,,
104001,,체력 {0} 증가,Incr. HP {0},体力增加{0},體力提升{0},体力{0}増加,,,,,,
104002,,치명타 확률 {0}% 증가,Incr. Critical Rate {0}%,暴击率增加{0}%,暴擊率提升{0}%,会心率{0}%増加,,,,,,
104003,,치명타 피해량 {0}% 증가,Incr. Critical Damage {0}%,暴击伤害量增加{0}%,暴擊傷害提升{0}%,会心ダメージ量{0}%増加,,,,,,
104005,,스테이지 경험치 획득량 {0}% 증가,Incr. Stage EXP Gain {0}%,关卡经验值获得量增加{0}%,關卡經驗值獲得量提升{0}%,ステージ経験値の獲得量{0}%増加,,,,,,
104006,,스테이지 골드 획득량 {0}% 증가,Incr. Stage Gold Gain {0}%,关卡金币获得量增加{0}%,關卡金幣獲得量提升{0}%,ステージゴールドの獲得量{0}%増加,,,,,,
